city,city_lat,city_lng,venue_id,venue_name,venue_lat,venue_lng,venue_cat
Paris,48.85717000000005,2.3414000000000215,4b726055f964a52036792de3,Pokerstars,48.88203788539589,2.2888523014598325,
Paris,48.85717000000005,2.3414000000000215,5e341e53dc356900080b6a18,Poketea,48.899176,2.283874,Poke Place
Paris,48.85717000000005,2.3414000000000215,5d6cfb1a470a23000852d436,Pokéidon,48.89363299590737,2.2485843300819397,Poke Place
Paris,48.85717000000005,2.3414000000000215,517e35a0e4b0347e2cdc787a,EuroPoker,48.90260077637705,2.329831198933413,Tech Startup
Paris,48.85717000000005,2.3414000000000215,4db5bdcf43a1369cb5d69d1f,Clichy Poker Tour,48.901598,2.314335,Gaming Cafe
Paris,48.85717000000005,2.3414000000000215,508a8672e4b05789447eaa3b,RedCactus Poker Events,48.901075,2.301163,General Entertainment
Paris,48.85717000000005,2.3414000000000215,4f3a81afe4b03d32dfc2f62f,LB Poker,48.83035107884016,2.2760202668918827,Tech Startup
Paris,48.85717000000005,2.3414000000000215,4b91782df964a520edbe33e3,La maison du Poker,48.82821982166539,2.2774039936387767,Casino
Marseille,43.29337000000004,5.371320000000026,,,,,
Lyon,45.759190000000046,4.829660000000047,5cf94721f2554e002cef5b30,Ohana Poke Bar,45.764826,4.835353,Poke Place
Lyon,45.759190000000046,4.829660000000047,57a49e9b498ecaa9ba3d6768,Astuce-PokemonGo,45.76783959999999,4.834009499999979,
Lyon,45.759190000000046,4.829660000000047,5234e3b411d20a281a8bc3ea,Poker Hard,45.77137509914137,4.866999877609554,Arcade
Lyon,45.759190000000046,4.829660000000047,5d6f9ac98b45db00078f8664,Oni'poke,45.76355,4.85391,Sushi Restaurant
Lyon,45.759190000000046,4.829660000000047,4f30447ae4b01982f3ecbfe0,Bibelot Poker Tour New Place,45.75741791406689,4.866341697395846,Gay Bar
Lyon,45.759190000000046,4.829660000000047,560eaffb498eed61ffabd2a3,ESPRIT POKER EVENTS,45.7909279,4.85969590000002,
Toulouse,43.60579000000007,1.448630000000037,5e10cd39d078b90007361abc,La Cabane À Poké,43.60697,1.442341,Poke Place
Toulouse,43.60579000000007,1.448630000000037,5e308a0e55fc5800087b2cad,Poké.Lab,43.605235,1.448292,Poke Place
Toulouse,43.60579000000007,1.448630000000037,5df502e11687a100085ab901,Poketeria,43.60367,1.435002,Restaurant
Nice,43.70025000000004,7.277740000000051,53e77d9e498e1e97151eafd9,Poke Shop,43.696827,7.276761,Flea Market
Nice,43.70025000000004,7.277740000000051,4f9d5214e4b09fef54399321,"Les neufs Carambars (poke ""mado La Nicoise"")",43.69563644211711,7.270962586256793,Sculpture Garden
Nice,43.70025000000004,7.277740000000051,596dea690d173f4981adea5c,Poké Bar,43.697716,7.262702,Hawaiian Restaurant
Nantes,47.21811000000008,-1.5530599999999595,4ead0cae0aaf9e9a23f8680d,AllinOuest Poker Room,47.21876829468614,-1.5577973372110183,Casino
Montpellier,43.61086000000006,3.8761200000000713,5e4a2366850a7a0008ee2edd,KYDO,43.60775362,3.87605603,Fast Food Restaurant
Montpellier,43.61086000000006,3.8761200000000713,55c0d125498ea56829657075,Les Tables De Poker JARQUE,43.6182036,3.986346700000013,
Strasbourg,48.58504000000005,7.7364200000000665,5f037649249fbb047de316d3,My Poké,48.582233,7.7570853,Poke Place
Strasbourg,48.58504000000005,7.7364200000000665,4e3c3e567d8b0e961059425f,Roche - Poker,48.57376,7.743377,Casino
Strasbourg,48.58504000000005,7.7364200000000665,50819afae4b0f51bc5a5ff1c,La Pokéball,48.5379087030604,7.7317869530904835,Sports Bar
Bordeaux,44.836700000000064,-0.5810699999999542,5b910d902632ec00394dd8c0,komo mai poke,44.839521,-0.582135,Salad Place
